decision_id,decision_name,decision_category,decision_description,decision_motivation,decision_level,decision_material,group_discussion,decision_status,steps,completed_steps,implementation_lead,quorum,contact_group
AOM-01,Fast-track tool acquisition & moratorium on shadow tool procurement,Decision,No new (in-scope) analytics tools are to be procured (across Brambles) without approval from Head of Global D&A + TS (who?),Cost savings | Data security | New analytics capabilities | User experience,I&T SteerCo,,,Approved,"Confirm I&T SteerCo intent | Identify Procurement & Finance gatekeepers | Finalise in-scope tool list | Create/automate exception process | APB on analytics tool moratorium from LH/HW | Allocate TS vs Digital ""ownership"" across master tool list | Explore Coupa and Zycus automated flagging | Brief & socialise with gatekeepers  | 3 x white hat purchase attempts (1 per region) | Confirm back to I&T SteerCo | Monitor performance","1,2,3,4",Keith.Dewar@brambles.com,Green,Emanuele Tamiazzo | Stephen Egli | Max Hartmann | Rob Maine | Alicia Jareno | Suresh Swaminathan | Sarah Hutchings | Karl Free | Ifenayi Ojoh | Dave Gill | Solenne Alech | Darren Varley | Thabo Machete | Alecia Loganathan | Muddathir Sulaiman | Vikash Sewjee
AOM-04,Designate Github Copilot as the exclusive pair coding assistant for D&A software development,For Information,a) Agree Github Copilot as preferred D&A tool b) qualifying D&A roles &  access approval c) policies for use alongside VS Code & DBX Assistant d) blacklisting of alternative coding assistants ,Cross-team collaboration | Data security | Fewer tool integrations |  Productivity increase | Resilience | User experience,I&T SteerCo,,,Approved,"Identify target Phase 1 target users & rollout approach | Design package boundaries & artifact requirements | Complete cost modelling and approve business case | Setup dedicated Azure account & Github organisation | Design package boundaries & artefact requirements | Develop & publish package artefacts | Configure Github Copilot and assign licenses | Document integration with VS Code, Bitbucket & Databricks | Build & publish best practice WoW | Onboard & train new users |Identify Phase 2 users and scale out","1,2",Jose.TejoBadilla@chep.com,Red,Nick Latocha | Craig Saundry | Victor Lopez | Agnieszka Chadzynska | Mike Souder | Sergio Suarez | Pablo Prensa | Khurram Soomro
AOM-03,Migrate all Data Science data storage off local machines into cloud environments,For Information,"To improve our data security, and make ""hidden"" compute loads visible, reconfigure all DS team members tool compute usage and data storage on to cloud-hosted platforms ",Cross-team collaboration | Data connectivity | Data security,I&T SteerCo,,,Approved,Data inventory for small DS subset | Conduct x 7 workflow interviews | Identify quick wins | Map technical constraints | Extend DS sample size if needed | Design target architecture (cloud environment(s) | Develop training materials and how-to's | Run pilot with c.10 DS | Go/No-go decision,,Keith.Dewar@brambles.com,Red,Mike Souder | Jason Jones | Karl Shepherd | Akshita Gupta | Khurram Soomro | Juan Alvarez | Alex Dieguez | Dan Bricarello | Yashashwini Gupta
AOM-07,Implement a consumption-based tool recharge mechanism from Global D&A to regions,Conditional Decision,"To support future tool migration work, and to avoid blockers arising from Digital D&A budget limitations, agree a recharge mechanism with Finance and the regions so that analytics tool costs can be re-allocated in proportion to regions' usage. Re-use our existing FinOps processes and teams for this.",Cost savings | Cross-team collaboration | Productivity increase,I&T SteerCo,,,Approved,"Global application tagging schema & new appID process | Agree FY26 in-scope analytics tools & apps | Current process state documented | Define showback model (cost types & metrics) | Reporting units confirmed (teams, regions, products, projects) | Close data (automated) source gaps | Future process state designed & implemented | RACI Agreed across TS, Digital & Finance | First showback report across tool scope | Future iterations","1,2,3",lawrence.Chan@brambles.com,Red,Lawrence Chan | Nadia Sookhoo | Saranya Palanisamy | Will Schmidt | Celine Galindo | Juan Martinez | Kaustubh Bellubi | Emanuele Tamiazzo
AOM-05,Designate Soda as the Brambles-wide data observability tool & activate onboarding processes,Conditional Decision,a) make the Soda tool available to all D&A teams b) promote awareness c) agree recharge mechanism (consumption-based) d) retire Evidently and GE tools,Cross-team collaboration | New analytics capabilities |  Productivity increase | Resilience | User experience,I&T SteerCo,,,Approved,Adapt current SNoW access & support process flows | Develop blueprint for surfacing DQ results in Alation | Platform team support SLAs & confirm capacity | Initial call to action/registration of interest | Re-engineer Soda Dev & Prod workspaces | Create standard Soda profiles | Connect to initial new source systems | Deliver Soda DQ checks training by SME |Monitor adoption,"1,2",tbd,Red,Sonia Faiz | José Tejo | Alistair Griffin | Joe Paolini | Craig Saundry | Brian Reynolds | Marco Borsje | Nicholas Thoroughgood | Karl Shepherd
AOM-09,Migrate AMERICAS SQL server workloads to Databricks,Conditional Decision,"Migrate high priority analytics AMERICAS analytics workloads to Databricks from SQL SSIS & SSMS tools. This will produce a more integrated experience for analytic producers, better quaity products, and opex savings from legacy tool retirement",Cost savings | Cross-team collaboration | Data connectivity | Data security | Fewer tool integrations | New analytics capabilities |  Productivity increase | Resilience | User experience,I&T SteerCo,,,Shaping,SA feasibility investigation | Onboard AMERICAS D&A team to Dartabricks | Identify residual SQL server processes & data | SoW approval for Bladebridge SQL code analysis & refactoring | Complete code refactoring to DBX SQL | Migrate data and code to Databricks | Identify plan for residual processes,"1,2",Brian.Reynolds@chep.com,Amber,José Tejo | Victor Lopez | Karl Shepherd | Anthony Gonzalez | Diane Perez | Joe Paolini | Callum Little
AOM-02,Evaluate Alteryx vs Dataiku as the designated low-code data science tool for Global Finance Control team,Decision,"Proceed with evaluation, using the existing Finance Alteryx community and their existing use cases as real-world context for comparison. ",Cost savings | Cross-team collaboration | Data connectivity | Data security | Fewer tool integrations,I&T SteerCo,,,Approved,I&T SteerCo decision | Set time scales backward from Alteryx license renewal |Brief & iterate plan with the Alteryx user group | Review recent FY25 RFP + FY26 Dataiku eval docs | Dataiku demos & user feedback sessions | Dataiku Discovery (requirements) | Infrastructure planning | Training needs assessment | Migration benefits & costings | Revert to I&T SteerCo with recommendation,"1,2,4",Rakesh.Krishnan@brambles.com,Green,Chris Snow | Lulu Graham | Jason Jones | Karl Shepherd | Cherryl Levita| Pepa Alvarado | Shayan Amin  | Ifeanyi Ojoh | José Tejo | Callum Little | Vicky Currie | Lawrence Chan 
AOM-06,Select & procure a designated graph database product for Brambles,For Information,"There is good evidence that specialist graph databases could bring benefits to D&A across Brambles. For example in these use cases: entity resolution, data lineage and provenance, master data management, network & route optimisation, predicted time of arrival etc. ",New analytics capabilities |  User experience,I&T SteerCo,,,Approved,I&T SteerCo approval | Sense check vs Llamasoft network optimisation use cases | Initiate formal Procurement project | Initial 2 x vendor demos for fact finding | Identify requirements |CONFIRM WITH I&T STEERCO |Market Research|RFP Creation|Vendor Proposals|Evaluation|OneTrust AI & Security assessments | DPIA review |TRB decision | Confirm selection|Contract Negotiation | Business case approval & vendor onboarding| Adoption campaign,"1,2,3",Keith.Dewar@brambles.com,Red,Matt Allen |Khurram Soomro |Brian Reynolds |Mike Souder | TS EA tbd |Akshita Gupta | Sam Patten | Diane Perez | Pepa Alvarado | Alejandro Nunéz | Vikram Vipul 
AOM-08,Onboard AMERICAS D&A team to the Databricks platform,For Information,"Databricks access provided to AMERICAS data scientists, engineers, analysts, BI developers. Existing LATAM, NA, and CAN workspaces, compute resources & data catalogs consolidated into a unified AMERICAS collection. Learning needs assessment conducted by Databricks & customised training plan designed.",Cross-team collaboration | Data connectivity | Data security | Fewer tool integrations | New analytics capabilities |  Productivity increase | Resilience | User experience,Global D&A Function,,,Approved,In-scope users identified | DBX budget owner approval | Existing DBX resources consolidated | Users provisioned on to platform | Learning Needs Assessment conducted across team | Customised training plan for delivery by DBX & self-study,"1,2,3,4,5",Callum.Little@brambles.com,Amber,Nick Latocha | Jose Tejo | Victor Lopez | Amelia Storr (DBX) | Callum Little | Veerle Knechten (DBX)
AOM-10,Designate A2A & MCP as the default protocols for agentic AI across Brambles,For Opinion,"Immediate adoption of two complementary open standards: Agent-to-Agent Protocol (A2A) and Model Context Protocol (MCP) as our enterprise foundation for agent-agent and agent-tool interworking. The alternative, fragmented proprietary solutions or no standards, risks creating expensive technical debt, vendor lock-in, and inability to participate in the emerging AI agent ecosystem.",Data connectivity | New analytics capabilities | User experience,I&T SteerCo,,,Shaping,,,,,
